season,player_name,team_abbreviation,age,player_height,player_weight
2022-23,A.J. Lawson,DAL,22,198.12,81.19296800000001
2022-23,AJ Green,MIL,23,195.58,86.18248
2022-23,AJ Griffin,ATL,19,198.12,99.79024
2016-17,AJ Hammons,DAL,24,213.36,117.93392
2009-10,AJ Price,IND,23,187.96,82.10015200000001
2010-11,AJ Price,IND,24,187.96,82.10015200000001
2011-12,AJ Price,IND,25,187.96,83.91452
2012-13,AJ Price,WAS,26,187.96,83.91452
2013-14,AJ Price,MIN,27,187.96,88.45044
2014-15,AJ Price,CLE,28,187.96,88.45044
2007-08,Aaron Brooks,HOU,23,182.88,73.028312
2008-09,Aaron Brooks,HOU,24,182.88,73.028312
2009-10,Aaron Brooks,HOU,25,182.88,73.028312
2010-11,Aaron Brooks,PHX,26,182.88,73.028312
2012-13,Aaron Brooks,HOU,28,182.88,73.028312
2013-14,Aaron Brooks,DEN,29,182.88,73.028312
2014-15,Aaron Brooks,CHI,30,182.88,73.028312
2015-16,Aaron Brooks,CHI,31,182.88,73.028312
2016-17,Aaron Brooks,IND,32,182.88,73.028312
2017-18,Aaron Brooks,MIN,33,182.88,73.028312
2014-15,Aaron Gordon,ORL,19,205.74,99.79024
2015-16,Aaron Gordon,ORL,20,205.74,99.79024
2016-17,Aaron Gordon,ORL,21,205.74,99.79024
2017-18,Aaron Gordon,ORL,22,205.74,99.79024
2018-19,Aaron Gordon,ORL,23,205.74,99.79024
2019-20,Aaron Gordon,ORL,24,203.2,106.59412
2020-21,Aaron Gordon,DEN,25,203.2,106.59412
2021-22,Aaron Gordon,DEN,26,203.2,106.59412
2022-23,Aaron Gordon,DEN,27,203.2,106.59412
2007-08,Aaron Gray,CHI,23,213.36,122.46984
2008-09,Aaron Gray,CHI,24,213.36,122.46984
2009-10,Aaron Gray,NOH,25,213.36,122.46984
2010-11,Aaron Gray,NOH,26,213.36,122.46984
2011-12,Aaron Gray,TOR,27,213.36,122.46984
2012-13,Aaron Gray,TOR,28,213.36,122.46984
2013-14,Aaron Gray,SAC,29,213.36,122.46984
2015-16,Aaron Harrison,CHA,21,198.12,95.25432
2016-17,Aaron Harrison,CHA,22,198.12,95.25432
2017-18,Aaron Harrison,DAL,23,198.12,95.25432
2021-22,Aaron Henry,PHI,22,195.58,95.25432
2018-19,Aaron Holiday,IND,22,185.42,83.91452
2019-20,Aaron Holiday,IND,23,182.88,83.91452
2020-21,Aaron Holiday,IND,24,182.88,83.91452
2021-22,Aaron Holiday,PHX,25,182.88,83.91452
2022-23,Aaron Holiday,ATL,26,182.88,83.91452
2017-18,Aaron Jackson,HOU,32,190.5,83.007336
2005-06,Aaron McKie,LAL,33,195.58,94.800728
2006-07,Aaron McKie,LAL,34,195.58,94.800728
2005-06,Aaron Miles,GSW,23,185.42,86.18248
2020-21,Aaron Nesmith,BOS,21,195.58,97.52228
2021-22,Aaron Nesmith,BOS,22,195.58,97.52228
2022-23,Aaron Nesmith,IND,23,195.58,97.52228
2021-22,Aaron Wiggins,OKC,23,193.04,86.18248
2022-23,Aaron Wiggins,OKC,24,195.58,86.18248
2005-06,Aaron Williams,NOK,34,205.74,106.59412
2006-07,Aaron Williams,LAC,35,205.74,106.59412
2007-08,Aaron Williams,LAC,36,205.74,106.59412
2017-18,Abdel Nader,BOS,24,198.12,104.32616
2018-19,Abdel Nader,OKC,25,198.12,102.0582
2019-20,Abdel Nader,OKC,26,195.58,102.0582
2020-21,Abdel Nader,PHX,27,195.58,102.0582
2021-22,Abdel Nader,PHX,28,195.58,102.0582
2007-08,Acie Law,ATL,23,190.5,88.45044
2008-09,Acie Law,ATL,24,190.5,91.625584
2009-10,Acie Law,CHI,25,190.5,91.625584
2010-11,Acie Law,GSW,26,190.5,91.625584
2019-20,Adam Mokoka,CHI,21,195.58,86.18248
2020-21,Adam Mokoka,CHI,22,193.04,86.18248
2006-07,Adam Morrison,CHA,22,203.2,92.98636
2008-09,Adam Morrison,LAL,24,203.2,92.98636
2009-10,Adam Morrison,LAL,25,203.2,92.98636
2021-22,Ade Murkey,SAC,24,195.58,90.7184
2019-20,Admiral Schofield,WAS,23,195.58,109.315672
2021-22,Admiral Schofield,ORL,25,195.58,109.315672
2022-23,Admiral Schofield,ORL,26,195.58,109.315672
2005-06,Adonal Foyle,GSW,31,208.28,122.46984
2006-07,Adonal Foyle,GSW,32,208.28,122.46984
2007-08,Adonal Foyle,ORL,33,208.28,122.46984
2008-09,Adonal Foyle,ORL,34,208.28,122.46984
2013-14,Adonis Thomas,PHI,21,200.66,108.86208
2014-15,Adreian Payne,MIN,24,208.28,111.13004
2015-16,Adreian Payne,MIN,25,208.28,107.501304
2016-17,Adreian Payne,MIN,26,208.28,107.501304
2017-18,Adreian Payne,ORL,27,208.28,107.501304
2005-06,Adrian Griffin,DAL,31,195.58,104.32616
2006-07,Adrian Griffin,CHI,32,195.58,104.32616
2007-08,Adrian Griffin,SEA,33,195.58,104.32616
2021-22,Ahmad Caver,IND,25,187.96,78.92500799999999
2005-06,Al Harrington,ATL,26,205.74,111.13004
2006-07,Al Harrington,GSW,27,205.74,111.13004
2007-08,Al Harrington,GSW,28,205.74,113.398
2008-09,Al Harrington,NYK,29,205.74,113.398
2009-10,Al Harrington,NYK,30,205.74,113.398
2010-11,Al Harrington,DEN,31,205.74,113.398
2011-12,Al Harrington,DEN,32,205.74,113.398
2012-13,Al Harrington,ORL,33,205.74,111.13004
2013-14,Al Harrington,WAS,34,205.74,111.13004
2007-08,Al Horford,ATL,22,208.28,111.13004
2008-09,Al Horford,ATL,23,208.28,111.13004
2009-10,Al Horford,ATL,24,208.28,111.13004
2010-11,Al Horford,ATL,25,208.28,111.13004
2011-12,Al Horford,ATL,26,208.28,113.398
2012-13,Al Horford,ATL,27,208.28,113.398
2013-14,Al Horford,ATL,28,208.28,113.398
2014-15,Al Horford,ATL,29,208.28,113.398
2015-16,Al Horford,ATL,30,208.28,111.13004
2016-17,Al Horford,BOS,31,208.28,111.13004
2017-18,Al Horford,BOS,32,208.28,111.13004
2018-19,Al Horford,BOS,33,208.28,111.13004
2019-20,Al Horford,PHI,34,205.74,108.86208
2020-21,Al Horford,BOS,35,205.74,108.86208
2021-22,Al Horford,BOS,36,205.74,108.86208
2022-23,Al Horford,BOS,37,205.74,108.86208
2005-06,Al Jefferson,BOS,21,208.28,120.20188
2006-07,Al Jefferson,BOS,22,208.28,116.119552
2007-08,Al Jefferson,MIN,23,208.28,120.20188
2008-09,Al Jefferson,MIN,24,208.28,120.20188
2009-10,Al Jefferson,MIN,25,208.28,120.20188
2010-11,Al Jefferson,UTA,26,208.28,127.00576
2011-12,Al Jefferson,UTA,27,208.28,131.088088
2012-13,Al Jefferson,UTA,28,208.28,131.088088
2013-14,Al Jefferson,CHA,29,208.28,131.088088
2014-15,Al Jefferson,CHA,30,208.28,131.088088
2015-16,Al Jefferson,CHA,31,208.28,131.088088
2016-17,Al Jefferson,IND,32,208.28,131.088088
2017-18,Al Jefferson,IND,33,208.28,127.00576
2007-08,Al Thornton,LAC,24,203.2,99.79024
2008-09,Al Thornton,LAC,25,203.2,99.79024
2009-10,Al Thornton,WAS,26,203.2,99.79024
2010-11,Al Thornton,GSW,27,203.2,106.59412
2010-11,Al-Farouq Aminu,LAC,20,205.74,97.52228
2011-12,Al-Farouq Aminu,NOH,21,205.74,97.52228
2012-13,Al-Farouq Aminu,NOH,22,205.74,97.52228
2013-14,Al-Farouq Aminu,NOP,23,205.74,97.52228
2014-15,Al-Farouq Aminu,DAL,24,205.74,97.52228
2015-16,Al-Farouq Aminu,POR,25,205.74,97.52228
2016-17,Al-Farouq Aminu,POR,26,205.74,99.79024
2017-18,Al-Farouq Aminu,POR,27,205.74,99.79024
2018-19,Al-Farouq Aminu,POR,28,205.74,99.79024
2019-20,Al-Farouq Aminu,ORL,29,203.2,99.79024
2020-21,Al-Farouq Aminu,CHI,30,203.2,99.79024
2005-06,Alan Anderson,CHA,23,198.12,99.79024
2006-07,Alan Anderson,CHA,24,198.12,99.79024
2011-12,Alan Anderson,TOR,29,198.12,99.79024
2012-13,Alan Anderson,TOR,30,198.12,99.79024
2013-14,Alan Anderson,BKN,31,198.12,99.79024
2014-15,Alan Anderson,BKN,32,198.12,99.79024
2015-16,Alan Anderson,WAS,33,198.12,99.79024
2016-17,Alan Anderson,LAC,34,198.12,99.79024
2005-06,Alan Henderson,CLE,33,205.74,108.86208
2006-07,Alan Henderson,PHI,34,205.74,108.86208
2015-16,Alan Williams,PHX,23,203.2,117.93392
2016-17,Alan Williams,PHX,24,203.2,117.93392
2017-18,Alan Williams,PHX,25,203.2,120.20188
2018-19,Alan Williams,BKN,26,203.2,120.20188
2007-08,Alando Tucker,PHX,24,198.12,92.98636
2008-09,Alando Tucker,PHX,25,198.12,92.98636
2009-10,Alando Tucker,MIN,26,198.12,92.98636
2011-12,Alec Burks,UTA,20,198.12,91.625584
2012-13,Alec Burks,UTA,21,198.12,91.625584
2013-14,Alec Burks,UTA,22,198.12,95.707912
2014-15,Alec Burks,UTA,23,198.12,95.707912
2015-16,Alec Burks,UTA,24,198.12,97.068688
2016-17,Alec Burks,UTA,25,198.12,97.068688
2017-18,Alec Burks,UTA,26,198.12,97.068688
2018-19,Alec Burks,SAC,27,198.12,97.068688
2019-20,Alec Burks,PHI,28,198.12,97.068688
2020-21,Alec Burks,NYK,29,198.12,97.068688
2021-22,Alec Burks,NYK,30,198.12,97.068688
2022-23,Alec Burks,DET,31,198.12,97.068688
2017-18,Alec Peters,PHX,23,205.74,106.59412
2021-22,Aleem Ford,ORL,24,203.2,99.79024
2021-22,Alekesej Pokusevski,OKC,20,213.36,86.18248
2020-21,Aleksej Pokusevski,OKC,19,213.36,86.18248
2022-23,Aleksej Pokusevski,OKC,21,213.36,95.25432
2019-20,Alen Smailagic,GSW,19,208.28,97.52228
2020-21,Alen Smailagic,GSW,20,208.28,97.52228
2016-17,Alex Abrines,OKC,23,198.12,86.18248
2017-18,Alex Abrines,OKC,24,198.12,86.18248
2018-19,Alex Abrines,OKC,25,198.12,90.7184
2005-06,Alex Acker,DET,23,195.58,83.91452
2008-09,Alex Acker,LAC,26,195.58,83.91452
2017-18,Alex Caruso,LAL,24,195.58,84.368112
2018-19,Alex Caruso,LAL,25,195.58,84.368112
2019-20,Alex Caruso,LAL,26,195.58,84.368112
2020-21,Alex Caruso,LAL,27,193.04,84.368112
2021-22,Alex Caruso,CHI,28,195.58,84.368112
2022-23,Alex Caruso,CHI,29,195.58,84.368112
2014-15,Alex Kirk,CLE,23,213.36,111.13004
2013-14,Alex Len,PHX,21,215.9,115.66596
2014-15,Alex Len,PHX,22,215.9,115.66596
2015-16,Alex Len,PHX,23,215.9,117.93392
2016-17,Alex Len,PHX,24,215.9,117.93392
2017-18,Alex Len,PHX,25,215.9,113.398
2018-19,Alex Len,ATL,26,215.9,113.398
2019-20,Alex Len,SAC,27,213.36,113.398
2020-21,Alex Len,WAS,28,213.36,113.398
2021-22,Alex Len,SAC,29,213.36,113.398
2022-23,Alex Len,SAC,30,218.44,113.398
2016-17,Alex Poythress,PHI,23,200.66,107.954896
2017-18,Alex Poythress,IND,24,205.74,106.59412
2018-19,Alex Poythress,ATL,25,205.74,106.59412
2005-06,Alex Scales,SAS,27,193.04,88.45044
2015-16,Alex Stepheson,MEM,28,208.28,122.46984
2006-07,Alexander Johnson,MEM,24,205.74,108.86208
2007-08,Alexander Johnson,MIA,25,205.74,104.32616
2012-13,Alexey Shved,MIN,24,198.12,82.553744
2013-14,Alexey Shved,MIN,25,198.12,84.821704
2014-15,Alexey Shved,NYK,26,198.12,84.821704
2008-09,Alexis Ajinca,CHA,21,213.36,99.79024
2009-10,Alexis Ajinca,CHA,22,213.36,99.79024
2010-11,Alexis Ajinca,TOR,23,218.44,112.490816
2013-14,Alexis Ajinca,NOP,26,218.44,112.490816
2014-15,Alexis Ajinca,NOP,27,218.44,112.490816
2015-16,Alexis Ajinca,NOP,28,218.44,112.490816
2016-17,Alexis Ajinca,NOP,29,218.44,112.490816
2017-18,Alfonzo McKinnie,TOR,25,203.2,97.52228
2018-19,Alfonzo McKinnie,GSW,26,203.2,97.52228
2019-20,Alfonzo McKinnie,CLE,27,200.66,97.52228
2020-21,Alfonzo McKinnie,LAL,28,200.66,97.52228
2021-22,Alfonzo McKinnie,CHI,29,200.66,97.52228
2018-19,Alize Johnson,IND,23,205.74,96.161504
2019-20,Alize Johnson,IND,24,200.66,96.161504
2020-21,Alize Johnson,BKN,25,200.66,96.161504
2021-22,Alize Johnson,NOP,26,203.2,96.161504
2022-23,Alize Johnson,SAS,27,203.2,96.161504
2006-07,Allan Ray,BOS,23,187.96,86.18248
2013-14,Allen Crabbe,POR,22,198.12,95.25432
2014-15,Allen Crabbe,POR,23,198.12,95.25432
2015-16,Allen Crabbe,POR,24,198.12,95.25432
2016-17,Allen Crabbe,POR,25,198.12,97.52228
2017-18,Allen Crabbe,BKN,26,198.12,97.52228
2018-19,Allen Crabbe,BKN,27,198.12,96.161504
2019-20,Allen Crabbe,MIN,28,195.58,96.161504
2005-06,Allen Iverson,PHI,31,182.88,74.84268
2006-07,Allen Iverson,DEN,32,182.88,74.84268
2007-08,Allen Iverson,DEN,33,182.88,81.64656
2008-09,Allen Iverson,DET,34,182.88,81.64656
2009-10,Allen Iverson,PHI,35,182.88,74.84268
2018-19,Allonzo Trier,NYK,23,195.58,90.7184
2019-20,Allonzo Trier,NYK,24,193.04,90.7184
2022-23,Alondes Williams,BKN,24,193.04,95.25432
2009-10,Alonzo Gee,WAS,23,198.12,99.79024
2010-11,Alonzo Gee,CLE,24,198.12,99.79024
2011-12,Alonzo Gee,CLE,25,198.12,99.336648
2012-13,Alonzo Gee,CLE,26,198.12,99.336648
2013-14,Alonzo Gee,CLE,27,198.12,102.0582
2014-15,Alonzo Gee,POR,28,198.12,102.0582
2015-16,Alonzo Gee,NOP,29,198.12,102.0582
2016-17,Alonzo Gee,DEN,30,198.12,102.0582
2005-06,Alonzo Mourning,MIA,36,208.28,118.38751200000002
2006-07,Alonzo Mourning,MIA,37,208.28,118.38751200000002
2007-08,Alonzo Mourning,MIA,38,208.28,118.38751200000002
2021-22,Alperen Sengun,HOU,19,208.28,110.222856
2022-23,Alperen Sengun,HOU,20,210.82,110.222856
2005-06,Alvin Williams,TOR,31,195.58,88.45044
2006-07,Alvin Williams,LAC,32,195.58,88.45044
2005-06,Amar'e Stoudemire,PHX,23,208.28,111.13004
2006-07,Amar'e Stoudemire,PHX,24,208.28,111.13004
2007-08,Amar'e Stoudemire,PHX,25,208.28,112.944408
2008-09,Amar'e Stoudemire,PHX,26,208.28,112.944408
2009-10,Amar'e Stoudemire,PHX,27,208.28,112.944408
2010-11,Amar'e Stoudemire,NYK,28,208.28,108.86208
2011-12,Amar'e Stoudemire,NYK,29,210.82,117.93392
2012-13,Amar'e Stoudemire,NYK,30,210.82,111.13004
2013-14,Amar'e Stoudemire,NYK,31,210.82,111.13004
2014-15,Amar'e Stoudemire,DAL,32,208.28,111.13004
2015-16,Amar'e Stoudemire,MIA,33,208.28,111.13004
2020-21,Amida Brimah,IND,27,208.28,104.32616
2018-19,Amile Jefferson,ORL,26,205.74,100.697424
2019-20,Amile Jefferson,ORL,27,205.74,100.697424
2019-20,Amir Coffey,LAC,23,200.66,95.25432
2020-21,Amir Coffey,LAC,24,200.66,95.25432
2021-22,Amir Coffey,LAC,25,200.66,95.25432
2022-23,Amir Coffey,LAC,26,200.66,95.25432
2005-06,Amir Johnson,DET,19,205.74,95.25432
2006-07,Amir Johnson,DET,20,205.74,95.25432
2007-08,Amir Johnson,DET,21,205.74,95.25432
2008-09,Amir Johnson,DET,22,205.74,95.25432
2009-10,Amir Johnson,TOR,23,205.74,95.25432
2010-11,Amir Johnson,TOR,24,205.74,95.25432
2011-12,Amir Johnson,TOR,25,205.74,95.25432
2012-13,Amir Johnson,TOR,26,205.74,95.25432
2013-14,Amir Johnson,TOR,27,205.74,95.25432
2014-15,Amir Johnson,TOR,28,205.74,108.86208
2015-16,Amir Johnson,BOS,29,205.74,108.86208
2016-17,Amir Johnson,BOS,30,205.74,108.86208
2017-18,Amir Johnson,PHI,31,205.74,108.86208
2018-19,Amir Johnson,PHI,32,205.74,108.86208
2005-06,Anderson Varejao,CLE,23,208.28,108.86208
2006-07,Anderson Varejao,CLE,24,208.28,108.86208
2007-08,Anderson Varejao,CLE,25,208.28,108.86208
2008-09,Anderson Varejao,CLE,26,210.82,117.93392
2009-10,Anderson Varejao,CLE,27,210.82,117.93392
2010-11,Anderson Varejao,CLE,28,210.82,117.93392
2011-12,Anderson Varejao,CLE,29,210.82,117.93392
2012-13,Anderson Varejao,CLE,30,210.82,117.93392
2013-14,Anderson Varejao,CLE,31,210.82,121.109064
2014-15,Anderson Varejao,CLE,32,210.82,121.109064
2015-16,Anderson Varejao,GSW,33,210.82,123.830616
2016-17,Anderson Varejao,GSW,34,210.82,123.830616
2020-21,Anderson Varejao,CLE,38,210.82,117.93392
2005-06,Andray Blatche,WAS,19,210.82,106.59412
2006-07,Andray Blatche,WAS,20,210.82,112.490816
2007-08,Andray Blatche,WAS,21,210.82,112.490816
2008-09,Andray Blatche,WAS,22,210.82,112.490816
2009-10,Andray Blatche,WAS,23,210.82,112.490816
2010-11,Andray Blatche,WAS,24,210.82,117.93392
2011-12,Andray Blatche,WAS,25,210.82,117.93392
2012-13,Andray Blatche,BKN,26,210.82,117.93392
2013-14,Andray Blatche,BKN,27,210.82,117.93392
2005-06,Andre Barrett,TOR,24,177.8,78.471416
2006-07,Andre Barrett,CHI,25,177.8,78.471416
2007-08,Andre Barrett,LAC,26,177.8,78.471416
2006-07,Andre Brown,SEA,26,205.74,111.13004
2007-08,Andre Brown,MEM,27,205.74,111.13004
2008-09,Andre Brown,CHA,28,205.74,111.13004
2014-15,Andre Dawkins,MIA,23,195.58,99.336648
2012-13,Andre Drummond,DET,19,208.28,122.46984
2013-14,Andre Drummond,DET,20,208.28,122.46984
2014-15,Andre Drummond,DET,21,210.82,126.552168
2015-16,Andre Drummond,DET,22,210.82,126.552168
2016-17,Andre Drummond,DET,23,210.82,126.552168
2017-18,Andre Drummond,DET,24,210.82,126.552168
2018-19,Andre Drummond,DET,25,210.82,126.552168
2019-20,Andre Drummond,CLE,26,208.28,126.552168
2020-21,Andre Drummond,LAL,27,208.28,126.552168
2021-22,Andre Drummond,BKN,28,208.28,126.552168
2022-23,Andre Drummond,CHI,29,210.82,126.552168
2011-12,Andre Emmett,NJN,29,195.58,104.32616
2005-06,Andre Iguodala,PHI,22,198.12,93.893544
2006-07,Andre Iguodala,PHI,23,198.12,93.893544
2007-08,Andre Iguodala,PHI,24,198.12,93.893544
2008-09,Andre Iguodala,PHI,25,198.12,93.893544
2009-10,Andre Iguodala,PHI,26,198.12,93.893544
2010-11,Andre Iguodala,PHI,27,198.12,93.893544
2011-12,Andre Iguodala,PHI,28,198.12,93.893544
2012-13,Andre Iguodala,DEN,29,198.12,93.893544
2013-14,Andre Iguodala,GSW,30,198.12,93.893544
2014-15,Andre Iguodala,GSW,31,198.12,97.52228
2015-16,Andre Iguodala,GSW,32,198.12,97.52228
2016-17,Andre Iguodala,GSW,33,198.12,97.52228
2017-18,Andre Iguodala,GSW,34,198.12,97.52228
2018-19,Andre Iguodala,GSW,35,198.12,97.52228
2019-20,Andre Iguodala,MIA,36,198.12,97.52228
2020-21,Andre Iguodala,MIA,37,198.12,97.52228
2021-22,Andre Iguodala,GSW,38,198.12,97.52228
2022-23,Andre Iguodala,GSW,39,198.12,97.52228
2017-18,Andre Ingram,LAL,32,190.5,86.18248
2018-19,Andre Ingram,LAL,33,190.5,86.18248
2005-06,Andre Miller,DEN,30,187.96,92.98636
2006-07,Andre Miller,PHI,31,187.96,90.7184
2007-08,Andre Miller,PHI,32,187.96,90.7184
2008-09,Andre Miller,PHI,33,187.96,90.7184
2009-10,Andre Miller,POR,34,187.96,90.7184
2010-11,Andre Miller,POR,35,187.96,90.7184
2011-12,Andre Miller,DEN,36,187.96,90.7184
2012-13,Andre Miller,DEN,37,187.96,90.7184
2013-14,Andre Miller,WAS,38,187.96,90.7184
2014-15,Andre Miller,SAC,39,187.96,90.7184
2015-16,Andre Miller,SAS,40,190.5,90.7184
2005-06,Andre Owens,UTA,25,193.04,90.7184
2007-08,Andre Owens,IND,27,193.04,90.7184
2013-14,Andre Roberson,OKC,22,200.66,95.25432
2014-15,Andre Roberson,OKC,23,200.66,95.25432
2015-16,Andre Roberson,OKC,24,200.66,95.25432
2016-17,Andre Roberson,OKC,25,200.66,95.25432
2017-18,Andre Roberson,OKC,26,200.66,95.25432
2019-20,Andre Roberson,OKC,28,200.66,95.25432
2020-21,Andre Roberson,BKN,29,200.66,95.25432
2006-07,Andrea Bargnani,TOR,21,213.36,113.398
2007-08,Andrea Bargnani,TOR,22,213.36,113.398
2008-09,Andrea Bargnani,TOR,23,213.36,113.398
2009-10,Andrea Bargnani,TOR,24,213.36,113.398
2010-11,Andrea Bargnani,TOR,25,213.36,113.398
2011-12,Andrea Bargnani,TOR,26,213.36,116.119552
2012-13,Andrea Bargnani,TOR,27,213.36,116.119552
2013-14,Andrea Bargnani,NYK,28,213.36,113.398
2014-15,Andrea Bargnani,NYK,29,213.36,111.13004
2015-16,Andrea Bargnani,BKN,30,213.36,111.13004
2006-07,Andreas Glyniadakis,SEA,25,215.9,127.00576
2005-06,Andrei Kirilenko,UTA,25,205.74,102.0582
2006-07,Andrei Kirilenko,UTA,26,205.74,102.965384
2007-08,Andrei Kirilenko,UTA,27,205.74,101.151016
2008-09,Andrei Kirilenko,UTA,28,205.74,102.0582
2009-10,Andrei Kirilenko,UTA,29,205.74,102.0582
2010-11,Andrei Kirilenko,UTA,30,205.74,106.59412
2012-13,Andrei Kirilenko,MIN,32,205.74,106.59412
2013-14,Andrei Kirilenko,BKN,33,205.74,106.59412
2014-15,Andrei Kirilenko,BKN,34,205.74,106.59412
2005-06,Andres Nocioni,CHI,26,200.66,102.0582
2006-07,Andres Nocioni,CHI,27,200.66,102.0582
2007-08,Andres Nocioni,CHI,28,200.66,102.0582
2008-09,Andres Nocioni,SAC,29,200.66,102.0582
2009-10,Andres Nocioni,SAC,30,200.66,102.0582
2010-11,Andres Nocioni,PHI,31,200.66,102.0582
2011-12,Andres Nocioni,PHI,32,200.66,102.0582
2005-06,Andrew Bogut,MIL,21,213.36,111.13004
2006-07,Andrew Bogut,MIL,22,213.36,111.13004
2007-08,Andrew Bogut,MIL,23,213.36,117.93392
2008-09,Andrew Bogut,MIL,24,213.36,117.93392
2009-10,Andrew Bogut,MIL,25,213.36,117.93392
2010-11,Andrew Bogut,MIL,26,213.36,117.93392
2011-12,Andrew Bogut,MIL,27,213.36,117.93392
2012-13,Andrew Bogut,GSW,28,213.36,117.93392
2013-14,Andrew Bogut,GSW,29,213.36,117.93392
2014-15,Andrew Bogut,GSW,30,213.36,117.93392
2015-16,Andrew Bogut,GSW,31,213.36,117.93392
2016-17,Andrew Bogut,CLE,32,213.36,117.93392
2017-18,Andrew Bogut,LAL,33,213.36,117.93392
2018-19,Andrew Bogut,GSW,34,213.36,117.93392
2005-06,Andrew Bynum,LAL,18,213.36,124.7378
2006-07,Andrew Bynum,LAL,19,213.36,124.7378
2007-08,Andrew Bynum,LAL,20,213.36,129.27372
2008-09,Andrew Bynum,LAL,21,213.36,129.27372
2009-10,Andrew Bynum,LAL,22,213.36,129.27372
2010-11,Andrew Bynum,LAL,23,213.36,129.27372
2011-12,Andrew Bynum,LAL,24,213.36,129.27372
2013-14,Andrew Bynum,IND,26,213.36,129.27372
2011-12,Andrew Goudelock,LAL,23,190.5,90.7184
2012-13,Andrew Goudelock,LAL,24,190.5,90.7184
2015-16,Andrew Goudelock,HOU,27,190.5,90.7184
2016-17,Andrew Harrison,MEM,22,198.12,96.615096
2017-18,Andrew Harrison,MEM,23,198.12,96.615096
2018-19,Andrew Harrison,NOP,24,198.12,96.615096
2022-23,Andrew Nembhard,IND,23,190.5,86.636072
2012-13,Andrew Nicholson,ORL,23,205.74,113.398
2013-14,Andrew Nicholson,ORL,24,205.74,113.398
2014-15,Andrew Nicholson,ORL,25,205.74,113.398
2015-16,Andrew Nicholson,ORL,26,205.74,113.398
2016-17,Andrew Nicholson,BKN,27,205.74,113.398
2017-18,Andrew White III,ATL,25,200.66,95.25432
2014-15,Andrew Wiggins,MIN,20,203.2,90.264808
2015-16,Andrew Wiggins,MIN,21,203.2,90.264808
2016-17,Andrew Wiggins,MIN,22,203.2,90.264808
2017-18,Andrew Wiggins,MIN,23,203.2,91.625584
2018-19,Andrew Wiggins,MIN,24,203.2,87.996848
2019-20,Andrew Wiggins,GSW,25,200.66,89.357624
2020-21,Andrew Wiggins,GSW,26,200.66,89.357624
2021-22,Andrew Wiggins,GSW,27,200.66,89.357624
2022-23,Andrew Wiggins,GSW,28,200.66,89.357624
2005-06,Andris Biedrins,GSW,20,210.82,111.13004
2006-07,Andris Biedrins,GSW,21,210.82,111.13004
2007-08,Andris Biedrins,GSW,22,210.82,104.32616
2008-09,Andris Biedrins,GSW,23,210.82,108.86208
2009-10,Andris Biedrins,GSW,24,210.82,108.86208
2010-11,Andris Biedrins,GSW,25,213.36,108.86208
2011-12,Andris Biedrins,GSW,26,213.36,109.769264
2012-13,Andris Biedrins,GSW,27,213.36,109.769264
2013-14,Andris Biedrins,UTA,28,213.36,113.398
2010-11,Andy Rautins,NYK,24,193.04,86.18248
2005-06,Anfernee Hardaway,NYK,34,200.66,97.52228
2007-08,Anfernee Hardaway,MIA,36,200.66,97.52228
2018-19,Anfernee Simons,POR,20,193.04,83.91452
2019-20,Anfernee Simons,POR,21,190.5,82.10015200000001
2020-21,Anfernee Simons,POR,22,190.5,82.10015200000001
2021-22,Anfernee Simons,POR,23,190.5,82.10015200000001
2022-23,Anfernee Simons,POR,24,190.5,82.10015200000001
2018-19,Angel Delgado,LAC,24,208.28,111.13004
2005-06,Antawn Jamison,WAS,30,205.74,106.59412
2006-07,Antawn Jamison,WAS,31,205.74,106.59412
2007-08,Antawn Jamison,WAS,32,205.74,106.59412
2008-09,Antawn Jamison,WAS,33,205.74,106.59412
2009-10,Antawn Jamison,CLE,34,205.74,106.59412
2010-11,Antawn Jamison,CLE,35,205.74,106.59412
2011-12,Antawn Jamison,CLE,36,205.74,106.59412
2012-13,Antawn Jamison,LAL,37,205.74,106.59412
2013-14,Antawn Jamison,LAC,38,205.74,106.59412
2017-18,Ante Zizic,CLE,21,210.82,113.398
2018-19,Ante Zizic,CLE,22,210.82,115.212368
2019-20,Ante Zizic,CLE,23,208.28,120.655472
2013-14,Anthony Bennett,CLE,21,203.2,117.480328
2014-15,Anthony Bennett,MIN,22,203.2,111.13004
2015-16,Anthony Bennett,TOR,23,203.2,111.13004
2016-17,Anthony Bennett,BKN,24,203.2,106.59412
2015-16,Anthony Brown,LAL,23,200.66,95.25432
2016-17,Anthony Brown,ORL,24,200.66,95.707912
2017-18,Anthony Brown,MIN,25,200.66,101.604608
2005-06,Anthony Carter,MIN,31,187.96,88.45044
2006-07,Anthony Carter,DEN,32,187.96,88.45044
2007-08,Anthony Carter,DEN,33,187.96,88.45044
2008-09,Anthony Carter,DEN,34,187.96,88.45044
2009-10,Anthony Carter,DEN,35,187.96,88.45044
2010-11,Anthony Carter,NYK,36,187.96,88.45044
2011-12,Anthony Carter,TOR,37,185.42,86.18248
2012-13,Anthony Davis,NOH,20,208.28,99.79024
2013-14,Anthony Davis,NOP,21,208.28,99.79024
2014-15,Anthony Davis,NOP,22,208.28,99.79024
2015-16,Anthony Davis,NOP,23,208.28,114.758776
2016-17,Anthony Davis,NOP,24,210.82,114.758776
